# chapter	source_id	exact string that must appear in the filing
# Whitespace is normalised on both sides before matching, so line breaks in the
# original filing do not matter. Matching is case-insensitive.
02	everpix-paid-acq	Test dates: 5/23-6/4 (13 days)
02	everpix-paid-acq	Average cost to acquire a new sign-up: $13.46
02	everpix-paid-acq	ROI is -87% on a 3 year LTV of $147
02	everpix-paid-acq	conversion from sign-up to paid conversion is about 80% lower for paid traffic vs. organic traffic
# ch03 — Studio Neat, first-party. The five-campaign record and the rules they draw from it.
03	sn-howto	raising nearly half a million dollars in total
03	sn-howto	Launched October 3, 2010 Ended November 2, 2010 Goal: $10,000 $137,417 pledged 5,273 backers
03	sn-howto	that person is John Gruber
03	sn-howto	Started shipping to backers in early December, 2010.
03	sn-howto	Launched February 5th, 2013 Ended March 5th, 2013 Goal: $10,000 $12,442 pledged 1,211 backers
03	sn-howto	Delivered in time for the March 2013 tournament.
03	sn-howto	Goal: $50,000 $155,519 pledged 2,274 backers
03	sn-howto	about idea validation, and mitigating risk
03	sn-howto	a napkin sketch is not enough
03	sn-howto	If you are making a physical piece of hardware, a working prototype is a must
03	sn-howto	important to start conversations with manufacturers beforehand to make sure your design is not impossible (or extremely difficult) to manufacture
03	sn-howto	projects that are successfully funded but fail to deliver (in timely manner, or at all) are a result of not doing the necessary legwork up front
03	sn-howto	1 hour and 25 minutes after the post went live, we surpassed our funding goal of $10,000, and finished the day with over $25,000
03	sn-howto	However long you think the project will take to complete, you may do well to simply double that estimate
03	sn-howto	stretch goals are a slippery slope that can lead to biting off more than you can chew
# ch03 — the two campaign pages, contemporaneous platform records via the Internet Archive.
03	ks-glif-2010	5,273 Backers $137,417 pledged of $10,000 goal
03	ks-glif-2010	This project successfully raised its funding goal on November 2.
03	ks-coolest-2014	62,642 Backers $13,285,226 pledged of $50,000 goal
03	ks-coolest-2014	Pledge $185 or more 50215 backers COOLEST COOLER
03	ks-coolest-2014	Estimated delivery: Feb 2015
# ch03 — the collapse. Secondary class, attributed to the journalist in the prose.
03	elreg-coolest-2019	collapsed earlier this week with 20,000 orders unfulfilled
03	elreg-coolest-2019	spruiked over 60,000 units costing $185 apiece
03	elreg-coolest-2019	Coolest asked backers for a further $97 in order for them to receive their product before the July 4 holidays of 2016
03	elreg-coolest-2019	this obligation cannot be discharged in bankruptcy
# ch05 On Dutch ground — quoted from the statutes themselves, not from law-firm commentary.
05	bw7-2026	Een beding waarbij de werkgever verbiedt of beperkt dat de werknemer voor anderen arbeid verricht buiten de tijdstippen waarop de arbeid moet worden verricht bij die werkgever, is nietig, tenzij dit beding kan worden gerechtvaardigd op grond van een objectieve reden.
05	bw7-2026	de arbeidsovereenkomst voor onbepaalde tijd is aangegaan
05	bw7-2026	de werkgever dit beding schriftelijk is overeengekomen met een meerderjarige werknemer
05	bw7-2026	noodzakelijk is vanwege zwaarwegende bedrijfs- of dienstbelangen
05	ww-2026	de dienstbetrekking is beëindigd door of op verzoek van de werknemer zonder dat aan de voortzetting ervan zodanige bezwaren waren verbonden, dat deze voortzetting redelijkerwijs niet van hem kon worden gevergd
# ch05 — Bingo Card Creator, contemporaneous. Founder-published, first-party, dated.
05	km-2009-review	Sales Net of Refunds: $31,156.18
05	km-2009-review	$18,525.71
05	km-2009-review	Approximate wage per hour worked: $125 ~ $150
05	km-5hours-2010	has made it possible to quit my day job at the end of this month
05	km-5hours-2010	the average over the period is (to my best estimate) about 5 hours
05	km-5hours-2010	I leave the office at 7:30 PM on a very good day
05	km-5hours-2010	eventually making perhaps $200 a month
05	km-2010-review	I quit my day job and went full time on my business as of April 1st of this year
05	km-2010-review	Sales Net Of Refunds: $42,589.90
05	km-2010-review	up 33% from $31,855.08
05	km-2010-review	$25,904.66
# ch05 — Gymdesk counter-case. Founder retrospective, weaker class, attributed in prose.
05	galperin-2022	reach enough revenue within the 6 months runway I had built
05	galperin-2022	I was wrong. In reality it took 3 whole years for the business to grow to the point it could provide for me full time
05	galperin-2022	I would only be working 4 days a week
05	galperin-2022	by the end of 2018 we had reached $10k in MRR
05	galperin-2022	working on Gymdesk full time in June 2019
# ch04 — Cydoc. Founder post-mortem, weaker class, attributed as such in the prose.
04	draelos-2026	for seven years (April 2018 to August 2025)
04	draelos-2026	what many consider to be validation milestones: paying customers, patents, and demonstrated clinical impact
04	draelos-2026	I only had my $35,000 annual MD/PhD stipend
04	draelos-2026	raised $265,000 from family, friends, and physicians
04	draelos-2026	over 35 different VC firms, but they were not interested in funding a solo founder without any revenue
04	draelos-2026	We acquired four paying customers
04	draelos-2026	four-figure recurring revenue and five-figure custom development revenue
04	draelos-2026	We were awarded two U.S. patents
04	draelos-2026	saved 11 minutes per visit
04	draelos-2026	ask them to buy it before you build it
04	draelos-2026	most made excuses. This is a red flag
04	draelos-2026	An entire additional year elapsed before I talked to my first real potential customers
# ch04 — Gymdesk counter-case, re-used from ch05 by design (recurring cast).
04	galperin-2022	reach enough revenue within the 6 months runway I had built
04	galperin-2022	I was wrong. In reality it took 3 whole years for the business to grow to the point it could provide for me full time
04	galperin-2022	by the end of 2018 we had reached $10k in MRR
04	draelos-2026	wanted to pay fewer than $100 per month
04	draelos-2026	the hosting and AI costs for our platform had gone up to about $70 per doctor
04	draelos-2026	a single EHR integration costs around $4,000 to $6,000
04	draelos-2026	it would take 11 years per practice just to break even
04	draelos-2026	one customer through a cold call, one through a cold email, one through a very warm intro
04	draelos-2026	and one via a consulting network
# ch03 On Dutch ground — quoted from the statute itself. Consumer withdrawal right.
03	bw6-2026	De consument kan een overeenkomst op afstand of een overeenkomst buiten de verkoopruimte zonder opgave van redenen ontbinden tot een termijn van veertien dagen is verstreken
03	bw6-2026	De consument heeft geen recht van ontbinding bij
03	bw6-2026	de levering van volgens specificaties van de consument vervaardigde zaken, die niet geprefabriceerd zijn
03	bw6-2026	bij een overeenkomst tot het verrichten van diensten: de dag waarop de overeenkomst wordt gesloten
03	bw6-2026	de dag waarop de consument of een door de consument aangewezen derde, die niet de vervoerder is, de zaak heeft ontvangen

# --- Chapter 6: Who Is This For (Plausible Analytics) ---
06	plausible-1m	It took us 324 days to reach the first $400 monthly recurring revenue (MRR)
06	plausible-1m	It took us nine months to go from $400 to $10,000 MRR
06	plausible-1m	Then it took ten months to get to $500,000 ARR
06	plausible-1m	The first line of code for Plausible was written by my co-founder Uku
06	plausible-1m	Uku is a developer
06	plausible-1m	We launched the public beta on Indie Hackers
06	plausible-1m	May: Paid subscriptions launched ($64 MRR)
06	plausible-1m	July: First traffic spike ($118 MRR)
06	plausible-1m	September: Embracing the open source world ($178 MRR)
06	plausible-1m	February: Looking for a marketing co-founder ($403 MRR)
06	plausible-1m	March: Plausible is now a team of two ($433 MRR)
06	plausible-1m	April: Picking a fight and going viral ($607 MRR)
06	plausible-1m	May: First mention on a prominent site ($1,055 MRR)
06	plausible-1m	June: Moving the database to ClickHouse ($1,767 MRR)
06	plausible-1m	July: Once again on the top of Hacker News ($2,844 MRR)
06	plausible-1m	August: Product Hunt launch ($4,062 MRR)
06	plausible-1m	September: Paid out our first salaries ($5,035 MRR)
06	plausible-1m	January: Finally sustainable ($11,303)
06	plausible-1m	February: Giving back 5% of our gross revenue ($13,576 MRR)
06	plausible-1m	April: Put your personal spin on the news ($22,290 MRR)
06	plausible-1m	June 2nd: $1M ARR ($83,637 MRR)
06	plausible-1m	After a few months of relatively stagnant growth
06	plausible-1m	This other person was me
06	plausible-1m	Uku cold-emailed me after reading a blog post I published about how to degoogle a website
06	plausible-1m	I started working with Uku on March 16th, 2020
06	plausible-1m	we had 49 visitors in total, and 0 from Google search the day before I joined
06	plausible-1m	my first tiny goal was to consistently get ten organic visitors from Google search per day
06	plausible-1m	Product relaunch (one example being that the early version of Plausible used one first-party cookie)
06	plausible-1m	New brand positioning (simple, lightweight, open source and privacy-first Google Analytics alternative)
06	plausible-1m	Streamlining the communication to send a consistent message everywhere
06	plausible-1m	Improving the site structure
06	plausible-1m	Adding a lot of new product-related content
06	plausible-1m	On April 8th, I published my first Plausible blog post
06	plausible-1m	Our new positioning was based on how different we are compared to Google Analytics, so we decided to pick a fight.
06	plausible-1m	More than 25,000 people visited our site on the day we published the post.
06	plausible-1m	We broke all our records in April: most traffic, trials and the biggest MRR increase.
06	plausible-1m	The post that changed our traction was: Why you should stop using Google Analytics on your website
06	plausible-1m	completely independent, self-funded and bootstrapped team of four
06	plausible-1m	intentionally small, profitable and sustainable
06	plausible-1m	More than 7,000 paying subscribers trust us
06	plausible-1m	actively counting stats on more than 50,000 websites with more than a billion monthly page views
06	plausible-1m	never paid to advertise for Plausible
06	plausible-1m	Our growth comes organically from word of mouth.
06	plausible-1m	We launched on Product Hunt.
06	plausible-1m	not a sustainable channel to acquire customers in the long term
06	plausible-1m	It brings that famous spike of hope after which follows the flat line of nope.
06	plausible-1m	We got more than 1,000 visitors and 15 trial signups from Product Hunt on the launch day
06	plausible-1m	only a few days later, we got fewer than 20 visitors from there
06	plausible-1m	Written by Marko Saric
06	plausible-1m	to be a European, privacy-first analytics project
06	plausible-1m	The marketing head at the company he worked for asked him to integrate Google Analytics into their landing page
# --- Chapter 6: second and third sources ---
06	plausible-stop-ga	Analytics is created, hosted and run by the largest ad-tech company in the world
06	plausible-stop-ga	built its wealth by collecting huge amounts of personal information and using these personal and behavioral insights to sell targeted advertising
06	plausible-stop-ga	This business model of surveillance capitalism creates a massive demand for personal information
06	plausible-stop-ga	Funded entirely by our subscribers
06	plausible-docs	Funnel analysis
06	plausible-docs	Custom properties
06	plausible-docs	Ecommerce
06	plausible-1m	Product Hunt was worthwhile
06	plausible-1m	This is typically a big event for startups

# --- Chapter 7: Where They Already Are (Bingo Card Creator / Appointment Reminder) ---
07	km-2009-review	Visits: 546,000
07	km-2009-review	Unique Visitors: 470,000
07	km-2009-review	Page Views: 1.6 million
07	km-2009-review	Traffic sources of note: Google (48%), AdWords (20%)
07	km-2009-review	Trial downloads: 56,000 (flat from last year)
07	km-2009-review	Trial signups to online version: 17,000 (new this year)
07	km-2009-review	Guest signups to online version: 8,500 (new this year)
07	km-2009-review	Approximate download-to-purchase conversion rate: 1.17%
07	km-2009-review	Approximate online trial-to-purchase conversion rate: 2.33%
07	km-2009-review	a stable of mini-sites, currently mostly centered on holiday bingo from Valentines through Halloween
07	km-2009-review	has resulted in greater than a 10x ROI
07	km-2009-review	the freelancer-produced content -> SEO engine that made my year in 2008 and continues to produce dividends
07	km-2009-review	It costs me about 24 cents to get a trial download or trial signup through AdWords at the margin, but only 2 cents to remind someone that their account still exists
07	km-2009-review	AdWords has made me very unhappy at several points this year
07	km-2009-review	their inability to approve my new ad copy within a month of submission
07	km-2009-review	Raising prices, from $24.95 to $29.95
07	km-2010-review	Visits: 777,000 (up from 546k)
07	km-2010-review	Unique visitors: 655,000 (up from 470k)
07	km-2010-review	Page views: 2.7 million (up from 1.6 million)
07	km-2010-review	Traffic sources of note: Google (44%), AdWords (20%), Binghoo (11%)
07	km-2010-review	Trial downloads: 21,000 (down from 56,000)
07	km-2010-review	Trial signups for online version: 72,000 (up from 17,000)
07	km-2010-review	Approximate online trial to purchase conversion rate: 1.7%
07	km-2010-review	Meat and potatoes SEO continues to be my bread and butter
07	km-2010-review	1% of a very large number is still worthwhile
07	km-2010-review	Sales go up, since converting 1% of a big number is still a good thing, but it dilutes my aggregate conversion rate
07	km-2010-review	AdWords has been on auto-pilot for virtually the entire year
07	km-2010-review	it seems to optimize for Google
07	km-2010-review	My Halloween, Thanksgiving, and Christmas mail blasts made well over a thousand dollars in sales for me, for about $30 worth of virtual postage stamps and perhaps twenty minutes of writing
07	km-2010-review	there does not seem to be a substantial difference in conversion rates
07	km-2010-review	The plan is, unsurprisingly if you know me, heavily reliant on organic SEO
07	km-2010-review	Insufficient pre-launch marketing
07	km-2010-review	My general field of expertise is in engineering marketing outcomes: A/B testing, SEO, and the like
07	km-2010-review	$6,000 in sales is nothing to sneeze at
07	km-5hours-2010	90% of the results of your business, and somewhere around 90% of the effort, are caused by non-coding activities
07	km-5hours-2010	Hello World attached to a random number generator
07	km-ar-6months	Early in December I launched my second software business, Appointment Reminder
07	km-ar-6months	AR has had about fifty people sign up for the trial
07	km-ar-6months	these days, BCC routinely gets 250 signups a day
07	km-ar-6months	about 10 of them have already paid me money and about 10 more look likely to
07	km-ar-6months	The revenue run rate is still inconsequential (south of $500 a month)
07	km-ar-6months	AR is cash flow positive
07	km-ar-6months	my most popular plan currently is the Professional one, at $29 a month
07	km-ar-6months	The worse case scenario for cost to service that customer is about $20 a month paid to Twilio
07	km-ar-6months	It turns out that most customers on that plan are below $3 apiece
07	km-ar-6months	if I could just scale customer acquisition, I would be in a very happy place
07	km-ar-6months	my biggest fan has seen his no-show rate decline to virtually nothing
07	km-ar-6months	I accomplished almost nothing on AR between May and late October of last year
07	km-ar-6months	turn $3,000 of freelancer writing into $30,000 of sales last year
07	km-ar-6months	It lets small businesses develop an asset which continues to grow in value over time, rather than leasing traffic via e.g. AdWords ads, where you have to continue paying or the spigot turns off
07	km-ar-6months	It lets small businesses achieve top rankings for relevant search terms on Google for minimal costs
07	km-2012-review	Profits roughly tripled from ~$70k to ~$200k (on total sales of ~$275k), exclusive of Appointment Reminder
07	km-2012-review	I refrain from quoting numbers about it publicly
07	km-2012-review	politely decline to discuss stats for Appointment Reminder
07	km-2012-review	I launched it in December of 2010, so it is just turning 2 years old right now
07	km-2009-review	Sales Net of Refunds: $31,156.18
07	km-2010-review	Sales Net Of Refunds: $42,589.90
07	km-2010-review	up 33% from $31,855.08

# --- Chapter 8: Asking for Money (ConvertKit) ---
08	nb-convertkit-5k	Growing ConvertKit to $5,020 in Monthly Recurring Revenue
08	nb-convertkit-5k	to start a brand new SaaS company and grow it to $5,000 in monthly recurring revenue within 6 months
08	nb-convertkit-5k	I could only make an initial investment of $5,000
08	nb-convertkit-5k	July 1st, 2013 arrived and ConvertKit was only at $2,480/month
08	nb-convertkit-5k	$2,480 was the peak month
08	nb-convertkit-5k	these beginners complained the most about price
08	nb-convertkit-5k	We were actually driving away our best customers and focusing on those least likely to succeed
08	nb-convertkit-5k	In October 2014 monthly recurring revenue had slid all the way down to $1,207
08	nb-convertkit-5k	Either give ConvertKit the attention it deserved or shut it down
08	nb-convertkit-5k	if your market definition has the word
08	nb-convertkit-5k	By the end of October MRR had grown 23% to $1,646
08	nb-convertkit-5k	we continued to execute on the same strategy and grew 27% up to $2,100
08	nb-convertkit-5k	tracking every conversation in a ConvertKit Sales Trello board
08	nb-convertkit-5k	been trying to get you to do that for over a year
08	nb-convertkit-5k	we contacted all the top sellers on LeanPub and Udemy
08	nb-convertkit-5k	Out of about a hundred personal emails, we picked up 5-7 customers
08	nb-convertkit-5k	MRR grew 54% to $3,237
08	nb-convertkit-5k	on January 1st, 2014 I invested $50,000 into ConvertKit
08	nb-convertkit-5k	From December 15th to January 15th we grew 60% to $4,067
08	nb-convertkit-5k	Growth stalls out when I go on vacation
08	nb-convertkit-5k	We still hit 20% growth in January
08	nb-convertkit-5k	We ended the month with lower MRR than we had on the 15th
08	nb-convertkit-5k	closed the month growing 17% to $4,561
08	nb-convertkit-5k	tended to be on the smallest accounts, needed the most help, and were the most likely to cancel
08	nb-convertkit-5k	Rebrand ConvertKit to be
08	nb-convertkit-5k	Focus even more on direct sales
08	nb-direct-sales	Direct Sales for Bootstrapped SaaS Startups: from $1,300 to $725,000 MRR
08	nb-direct-sales	As the founder my time is too valuable for selling $49/month accounts
08	nb-direct-sales	they grew from $2,400 MRR in December 2012 to $50,000 MRR a year later
08	nb-direct-sales	magic lever that you can just pull to get growth
08	nb-direct-sales	When you sell online you are getting rejected dozens of times without hearing a reason
08	nb-direct-sales	If someone comes to your blog post or sales page and closes the tab without buying, they rejected you
08	nb-direct-sales	The basic rules of social interactions require them to give you a reason
08	nb-direct-sales	You must follow-up
08	nb-direct-sales	In the very beginning I tracked everything in a Trello board
08	nb-direct-sales	Is anything frustrating you with MailChimp?
08	nb-direct-sales	The point is to start a conversation, not to make a sale
08	nb-direct-sales	Paleo recipe blogs run by women
08	nb-direct-sales	The smaller the circle you target the more likely your prospects know each other
08	nb-direct-sales	switching email providers is so much work
08	nb-direct-sales	and do it all for you. For free.
08	nb-direct-sales	The prospect placed all their possible objections on a single thing: the cost of switching
08	nb-direct-sales	the churn on accounts that go through a migration is around 1.5% rather than the more typical 5.5%
08	nb-direct-sales	Direct sales absolutely scales and anyone who says otherwise is just too lazy to do the work
08	nb-direct-sales	better at giving this advice than I am at taking it
08	nb-direct-sales	because that enables the channels that do scale
08	nb-direct-sales	only 5% of professional bloggers even know we exist

# --- Chapter 9: What to Charge (Studio Neat / Dutch VAT) ---
09	sn-howto	The Cosmonaut
09	sn-howto	A Wide-Grip Stylus for Touch Screens
09	sn-howto	Launched March 28, 2011
09	sn-howto	Ended April 20, 2011
09	sn-howto	Goal: $50,000
09	sn-howto	$134,236 pledged
09	sn-howto	6,192 backers
09	sn-howto	Started shipping to backers in December, 2011
09	sn-howto	pay-what-you-want
09	sn-howto	funding goal ($50,000) and a limited number of slots (3000)
09	sn-howto	sold out of the 3000 slots within the first 48 hours
09	sn-howto	about $5000 shy of the $50,000 funding goal
09	sn-howto	open up new, unlimited tiers
09	sn-howto	sustainable funding method on Kickstarter
09	sn-howto	Kickstarter collects 5% of your funding total
09	sn-howto	Stripe (previously Amazon) grabs another ~3% as the payment gateway
09	sn-howto	factor in about 5% dropped backers
09	sn-howto	how much it costs to ship things worldwide
09	sn-howto	set an initial goal of delivery in June
09	sn-howto	ultimately delivered at the beginning of December
09	sn-howto	around $2 per item shipped plus the cost of the packing materials and shipping
09	sn-howto	charge a small monthly fee for renting space for your inventory
09	acm-consumer-prices	Een verkoopprijs voor consumenten vermeldt u inclusief btw en bijkomende kosten
09	acm-consumer-prices	Geef de prijs in euro’s, inclusief btw
09	acm-consumer-prices	In de prijs zitten alle bijkomende kosten
09	acm-consumer-prices	Als die afhangen van de bestelling, geeft u een voorbeeld
09	bd-vat-example	Uw totaalprijs is dan inclusief btw
09	bd-vat-example	€ 100 + 21% btw = € 121
09	bd-vat-example	€ 99,95 x 21/121 = € 17,35
09	bd-vat-example	€ 99,95 - € 17,35 - € 50 = € 32,60

# --- Chapter 10: The First Ten Customers (WP Curve) ---
10	wpc-jul-2013	on 26 June I launched WP Curve and within a week I had doubled the $476 to a total of $952
10	wpc-jul-2013	I was sitting at $476 recurring monthly income
10	wpc-jul-2013	For July, I can reveal that we grew by 70% which means we are now covering costs
10	wpc-jul-2013	no longer going to report on revenue in these reports
10	wpc-jul-2013	I now have a cofounder
10	wpc-jul-2013	weakness for sales, pricing and generally anything face to face
10	wpc-oct-2013	At the start of October we had 64 monthly recurring customers in total
10	wpc-oct-2013	During October, we signed up 59 more bringing our total number of recurring customers to 123
10	wpc-oct-2013	represents 88% monthly revenue growth
10	wpc-oct-2013	Our previous best month of customer signup was 13
10	wpc-oct-2013	from the 50-odd web agencies Dan and I have spoken to
10	wpc-oct-2013	completely remove our agency offering and only offer our services to business owners
10	wpc-oct-2013	being too transparent might hurt us
10	wpc-oct-2013	When you compromise on your core offering, something is not right
10	wpc-nov-2013	we hit $8,371 in Monthly Recurring Revenue (MRR) at the end of November
10	wpc-nov-2013	This represented a 35% growth in recurring revenue in 1 month
10	wpc-nov-2013	May - $476
10	wpc-nov-2013	June - $907
10	wpc-nov-2013	July - $1,546
10	wpc-nov-2013	August - $2,668
10	wpc-nov-2013	September - $3,293
10	wpc-nov-2013	October - $6,196
10	wpc-nov-2013	no virality involved. We have to work for every single customer
10	wpc-nov-2013	in my last business I hit 120 customers after 6.5 years and 40 of them came via an acquisition
10	wpc-nov-2013	We have turned down tens of thousands of dollars worth of one off work
10	wpc-dec-2013	We started December with 155 customers and welcomed the new year with 178 customers
10	wpc-dec-2013	we fell $188 short with a final MRR of $9,812
10	wpc-dec-2013	This represents a 17% increase in monthly recurring revenue of $8,371 in November
10	wpc-dec-2013	This puts us at an annual revenue run rate of $117,744
10	wpc-dec-2013	We have a 10% monthly growth target
10	wpc-dec-2013	The common thread is that all of these customers have been running blogs, rather than businesses
10	wpc-dec-2013	$69 feels like a big cost
10	wpc-dec-2013	we will spend more time marketing to business owners instead
10	wpc-dec-2013	Churn is the silent killer of monthly recurring revenue
10	wpc-dec-2013	In 2013 we focused on rapid customer acquisition
10	wpc-dec-2013	a 17% increase

# --- Chapter 11: What Happens After the Sale (Turing School CIRR reports) ---
11	turing-cirr-2016h1	CIRR Schedule of Outcome Data
11	turing-cirr-2016h1	Enrolled Students 86
11	turing-cirr-2016h1	How many students graduate within 100% of published program length (on-time)? 67.95%
11	turing-cirr-2016h1	How many students graduate within 150% of published program length 80.77%
11	turing-cirr-2016h1	Employed full-time in paid, in-field positions 71.83% 83.10%
11	turing-cirr-2016h1	C. Hired by school in-field 4.23% 5.63%
11	turing-cirr-2016h1	Published Course Length (in days, including weekends and holidays) 210
11	turing-cirr-2019h1be	Turing School Denver - Back End Engineering
11	turing-cirr-2019h1be	Graduates Included in Report: 67
11	turing-cirr-2019h1be	How many students graduated on-time? 60.2%
11	turing-cirr-2019h1be	How many students graduated within 150% of program length? 79.5%
11	turing-cirr-2019h1be	80.6% Employed In-Field
11	turing-cirr-2019h1be	9.0% Still Seeking a Job In-Field
11	turing-cirr-2019h1be	7.5% Could Not Contact
11	turing-cirr-2019h1be	What median pay rate do graduates earn? $75,000
11	turing-cirr-2019h1be	73.1% Software Engineer
11	turing-cirr-2020h1be	Turing School of Software and Design
11	turing-cirr-2020h1be	How many students graduated on-time? 61.4%
11	turing-cirr-2020h1be	How many students graduated within 150% of program length? 87.5%
11	turing-cirr-2020h1be	63.1% Employed In-Field
11	turing-cirr-2020h1be	26.2% Still Seeking a Job In-Field
11	turing-cirr-2020h1be	7.7% Could Not Contact
11	turing-cirr-2020h1be	47.7% Full-Time Employee
11	turing-cirr-2020h1be	13.8% Full-Time Apprentice / Contractor

# --- Chapter 12: Reading Your Own Business (BW2 Titel 9) ---
12	bw2-jaarrekening	de waarde van de activa volgens de balans met toelichting bedraagt, op de grondslag van verkrijgings- en vervaardigingsprijs, niet meer dan € 350.000
12	bw2-jaarrekening	de netto-omzet over het boekjaar bedraagt niet meer dan € 700.000
12	bw2-jaarrekening	het gemiddeld aantal werknemers over het boekjaar bedraagt minder dan 10
12	bw2-jaarrekening	niet meer dan € 7.500.000
12	bw2-jaarrekening	de netto-omzet over het boekjaar bedraagt niet meer dan € 15.000.000
12	bw2-jaarrekening	het gemiddeld aantal werknemers over het boekjaar bedraagt minder dan 50
12	bw2-jaarrekening	Artikel 394 is slechts van toepassing met betrekking tot een overeenkomstig lid 3 beperkte balans en de toelichting
12	bw2-jaarrekening	De rechtspersoon is verplicht tot openbaarmaking van de jaarrekening binnen acht dagen na de vaststelling
12	bw2-jaarrekening	De openbaarmaking geschiedt door deponering
12	bw2-jaarrekening	niet meer dan € 25.000.000
12	bw2-jaarrekening	het gemiddeld aantal werknemers over het boekjaar bedraagt minder dan 250
12	bw2-jaarrekening	In de winst- en verliesrekening worden de posten genoemd
# ch12 — who must file, and the current micro thresholds
12	kvk-deponeren	De rechtsvorm van uw bedrijf bepaalt of u een jaarrekening moet deponeren
12	kvk-deponeren	een besloten vennootschap (bv)
12	kvk-deponeren	een naamloze vennootschap (nv)
12	kvk-deponeren	Bekijk alle rechtsvormen die niet verplicht zijn de jaarrekening te deponeren
12	kvk-deponeren	uiterlijk 8 dagen na vaststelling bij de KVK
